epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,956.609,0.54013,0.37285,0.94178,0.99922,1,0.995,0.93469,0.37033,0.21727,0.81961,0.00080945,0.00080945,0.00080945
180,963.459,0.54212,0.37872,0.93503,0.99926,1,0.995,0.92966,0.38387,0.22475,0.82343,0.000806975,0.000806975,0.000806975
181,967.783,0.53148,0.38853,0.9127,0.99928,1,0.995,0.9361,0.36732,0.22049,0.81879,0.0008045,0.0008045,0.0008045
182,972.174,0.50751,0.38042,0.92377,0.99925,1,0.995,0.93658,0.35359,0.21671,0.81409,0.000802025,0.000802025,0.000802025
183,978.474,0.52209,0.38392,0.92534,0.99889,1,0.995,0.93963,0.34857,0.21422,0.81253,0.00079955,0.00079955,0.00079955
184,983.734,0.5124,0.36926,0.9344,0.99767,1,0.995,0.9359,0.36565,0.21743,0.81634,0.000797075,0.000797075,0.000797075
185,988.101,0.51715,0.38621,0.91671,0.99431,1,0.995,0.93071,0.36421,0.22352,0.81389,0.0007946,0.0007946,0.0007946
186,993.29,0.53241,0.37305,0.93373,0.9975,1,0.995,0.93685,0.35929,0.22342,0.81202,0.000792125,0.000792125,0.000792125
187,999.736,0.52549,0.37243,0.92907,0.99855,1,0.995,0.93595,0.35444,0.21915,0.81263,0.00078965,0.00078965,0.00078965
188,1004.14,0.53527,0.37961,0.93812,0.9988,1,0.995,0.93045,0.38599,0.22053,0.81898,0.000787175,0.000787175,0.000787175
189,1008.48,0.5071,0.3414,0.91231,0.99903,1,0.995,0.93227,0.35628,0.21384,0.8117,0.0007847,0.0007847,0.0007847
